date,LIC,LMC,UMC,HIC
07mar2022,8.71,45.919998,74.800003,71.800003
08mar2022,8.7799997,46.040001,74.809998,71.82
09mar2022,8.96,46.130001,74.839996,71.830002
10mar2022,9,46.240002,74.889999,71.919998
11mar2022,9.0100002,46.34,74.910004,71.940002
12mar2022,9.0100002,46.400002,74.919998,71.959999
13mar2022,9.2799997,46.529999,74.93,71.970001
14mar2022,9.9700003,46.599998,75.129997,71.980003
15mar2022,10,46.720001,75.150002,72
16mar2022,10.01,46.799999,75.18,72.029999
17mar2022,10.07,46.860001,75.209999,72.050003
18mar2022,10.13,46.919998,75.239998,72.07
19mar2022,10.13,46.950001,75.25,72.089996
20mar2022,10.14,47.02,75.25,72.099998
21mar2022,10.14,47.099998,75.300003,72.110001
22mar2022,10.15,47.189999,75.309998,72.129997
23mar2022,10.16,47.290001,75.339996,72.160004
24mar2022,10.16,47.369999,75.370003,72.169998
25mar2022,10.18,47.41,75.389999,72.199997
26mar2022,10.18,47.5,75.410004,72.209999
27mar2022,10.19,47.610001,75.43,72.220001
28mar2022,10.2,47.830002,75.440002,72.230003
29mar2022,10.29,48.02,75.459999,72.25
30mar2022,10.29,48.18,75.480003,72.269997
31mar2022,10.38,48.639999,75.550003,72.300003
01apr2022,10.38,48.689999,75.559998,72.32
02apr2022,10.38,48.700001,75.559998,72.330002
03apr2022,10.38,48.790001,75.589996,72.339996
04apr2022,10.41,48.869999,75.599998,72.349998
05apr2022,10.41,48.91,75.660004,72.370003
06apr2022,10.42,48.970001,75.669998,72.389999
07apr2022,10.42,49.130001,75.68,72.400002
08apr2022,10.45,49.169998,75.699997,72.419998
09apr2022,10.63,49.209999,75.709999,72.43
10apr2022,10.99,49.380001,75.709999,72.440002
11apr2022,10.99,49.419998,75.800003,72.449997
12apr2022,11,49.5,75.809998,72.470001
13apr2022,11,49.529999,75.830002,72.480003
14apr2022,11.01,49.57,75.839996,72.5
15apr2022,11.01,49.59,75.849998,72.510002
16apr2022,11.02,49.599998,75.849998,72.519997
17apr2022,11.02,49.630001,75.870003,72.529999
18apr2022,11.02,49.700001,75.949997,72.540001
19apr2022,11.03,49.759998,75.970001,72.550003
20apr2022,11.03,49.790001,75.980003,72.559998
21apr2022,11.03,49.830002,76,72.580002
22apr2022,11.03,49.880001,76.010002,72.599998
23apr2022,11.03,49.93,76.019997,72.610001
24apr2022,11.04,50.009998,76.019997,72.620003
25apr2022,11.04,50.049999,76.040001,72.629997
26apr2022,11.2,50.209999,76.050003,72.639999
27apr2022,11.2,50.259998,76.169998,72.650002
28apr2022,11.2,50.32,76.199997,72.660004
29apr2022,11.2,50.41,76.220001,72.68
30apr2022,11.2,50.470001,76.220001,72.690002
01may2022,11.27,50.540001,76.230003,72.699997
02may2022,11.27,50.560001,76.239998,72.699997
03may2022,11.27,50.610001,76.25,72.709999
04may2022,11.27,50.619999,76.260002,72.720001
05may2022,11.28,50.66,76.32,72.730003
06may2022,11.28,50.709999,76.339996,72.75
07may2022,11.28,50.759998,76.339996,72.760002
08may2022,11.42,50.849998,76.339996,72.760002
09may2022,11.42,50.889999,76.349998,72.769997
10may2022,11.43,50.950001,76.360001,72.779999
11may2022,11.43,51.009998,76.370003,72.790001
12may2022,11.43,51.049999,76.449997,72.800003
13may2022,11.43,51.09,76.470001,72.809998
14may2022,11.44,51.139999,76.470001,72.82
15may2022,11.46,51.23,76.480003,72.830002
16may2022,11.47,51.25,76.480003,72.830002
17may2022,11.47,51.279999,76.489998,72.839996
18may2022,11.47,51.330002,76.5,72.849998
19may2022,11.47,51.360001,76.510002,72.860001
20may2022,11.5,51.41,76.519997,72.879997
21may2022,11.5,51.450001,76.519997,72.889999
22may2022,11.62,51.52,76.610001,72.889999
23may2022,11.63,51.549999,76.620003,72.900002
24may2022,11.63,51.650002,76.620003,72.910004
25may2022,11.63,51.68,76.629997,72.919998
26may2022,11.65,51.720001,76.68,72.93
27may2022,11.67,51.75,76.690002,72.940002
28may2022,11.67,51.790001,76.699997,72.949997
29may2022,11.67,51.82,76.709999,72.949997
30may2022,11.8,51.830002,76.709999,72.959999
31may2022,11.8,51.869999,76.730003,72.959999
01jun2022,11.81,51.919998,76.779999,72.980003
02jun2022,11.85,51.93,76.779999,72.980003
03jun2022,11.87,51.970001,76.800003,72.989998
04jun2022,11.87,52.009998,76.82,73
05jun2022,12.05,52.080002,76.82,73.010002
06jun2022,12.06,52.099998,76.82,73.010002
07jun2022,12.07,52.139999,76.830002,73.019997
08jun2022,12.08,52.209999,76.839996,73.029999
09jun2022,12.08,52.25,76.889999,73.040001
10jun2022,12.08,52.279999,76.900002,73.050003
11jun2022,12.08,52.32,76.900002,73.050003
12jun2022,12.08,52.369999,76.900002,73.050003
13jun2022,12.11,52.400002,76.910004,73.059998
14jun2022,12.11,52.43,76.910004,73.07
15jun2022,12.13,52.48,76.919998,73.080002
16jun2022,12.13,52.52,77,73.080002
17jun2022,12.16,52.560001,77.010002,73.089996
18jun2022,12.17,52.619999,77.019997,73.089996
19jun2022,12.86,52.799999,77.019997,73.099998
20jun2022,12.86,52.810001,77.029999,73.099998
21jun2022,12.87,52.849998,77.029999,73.110001
22jun2022,12.88,52.889999,77.040001,73.120003
23jun2022,12.89,52.939999,77.080002,73.120003
24jun2022,12.89,52.970001,77.080002,73.129997
25jun2022,12.89,53.009998,77.089996,73.139999
26jun2022,13.2,53.049999,77.089996,73.139999
27jun2022,13.2,53.09,77.120003,73.150002
28jun2022,13.21,53.130001,77.129997,73.150002
29jun2022,13.23,53.23,77.139999,73.160004
30jun2022,13.25,53.259998,77.139999,73.169998
01jul2022,13.25,53.279999,77.150002,73.18
02jul2022,13.25,53.310001,77.150002,73.190002
03jul2022,13.34,53.470001,77.160004,73.190002
04jul2022,13.34,53.48,77.160004,73.199997
05jul2022,13.34,53.52,77.160004,73.209999
06jul2022,13.34,53.540001,77.160004,73.220001
07jul2022,13.35,53.59,77.230003,73.220001
08jul2022,13.36,53.630001,77.230003,73.230003
09jul2022,13.36,53.630001,77.239998,73.239998
10jul2022,13.52,53.790001,77.239998,73.25
11jul2022,13.53,53.810001,77.25,73.260002
12jul2022,13.53,53.849998,77.25,73.260002
13jul2022,13.53,53.880001,77.25,73.269997
14jul2022,13.53,53.950001,77.260002,73.269997
